,filename,transcription,filepath
92,tem_09015_01130549347,బాలవంతి కథలో రాజుకు సంతానం కలగదు,end_to_end\tem_09015_01130549347.wav
93,tem_09222_00453971829,ఇరాన్ పురాతన సంగీతపరికరాలకు పుట్టిల్లు\n,end_to_end\tem_09222_00453971829.wav
94,tem_05479_01443991974,అందువలన ఈ ప్రాంతం కరొండ మండలం అయింది\n,end_to_end\tem_05479_01443991974.wav
95,tem_03338_01987197158,ఈ నిర్ణయం ఇంకా అమలులోకి రాలేదు,end_to_end\tem_03338_01987197158.wav
96,tem_08680_00857310612,వినదగు నెవ్వరు జెప్పిన,end_to_end\tem_08680_00857310612.wav
97,tem_09222_00143696373,ఇదే పేరుతో ఉన్న ఇతర ప్రాంతాల కొరకు వడ్డేపల్లి అయోమయ నివృత్తి చూడండి,end_to_end\tem_09222_00143696373.wav
98,tem_02812_00724719876,నాకు రుచికరంగా వంటలు చేయడం వచ్చు కదా,end_to_end\tem_02812_00724719876.wav
99,tem_08680_00921983494,ఈ ఘటనలు అతన్ని బాగా బాధిస్తాయి\n,end_to_end\tem_08680_00921983494.wav
100,tem_07220_01596808513,నేల సమతలంగా వుండాలి,end_to_end\tem_07220_01596808513.wav
101,tem_09584_00886976974,పిన్ కోడ్ అయిదు లక్షలు ఏడు వేలు మూడు వందలు ఒక,end_to_end\tem_09584_00886976974.wav
102,tem_09015_01103759630,అదిప్పుడు పునరుద్ధరించ బడుతున్నది,end_to_end\tem_09015_01103759630.wav
103,tem_00682_01226756504,మనం వాళ్ళను విడిచి పెట్టి తప్పు చేసాం,end_to_end\tem_00682_01226756504.wav
104,tem_06885_01602510897,ఈ పరిస్థితి తెలుగులోనే కాదు ఇంగ్లీషులో కూడా ఉంది,end_to_end\tem_06885_01602510897.wav
105,tem_00974_00214602362,విజయనగర సామ్రాజ్యం చాలా విశాలంగా ఉండేది,end_to_end\tem_00974_00214602362.wav
106,tem_05479_00809708946,మధ్యధరా ప్రాంతంచే చుట్టి వున్నది\n,end_to_end\tem_05479_00809708946.wav
107,tem_05425_01695255102,కన్నడ కర్ణాటక రాష్ట్ర అధికార భాష,end_to_end\tem_05425_01695255102.wav
108,tem_03338_00957191347,గున పట్టణం జిల్లాకేంద్రంగా ఉంది,end_to_end\tem_03338_00957191347.wav
109,tem_03338_01016186323,పంటలు సరిగా పండవు,end_to_end\tem_03338_01016186323.wav
110,tem_04272_00220587228,విస్తరణ అంటే కేవలం ఆంగ్ల వికీ అనువాదం కాదు,end_to_end\tem_04272_00220587228.wav
111,tem_08680_00260033804,వెలదులార ముదముమీర నలుగిడ రారే బృందంపధ్నాలుగు\n,end_to_end\tem_08680_00260033804.wav
112,tem_00974_01796656293,గీత తన పదవికి రాజీనామా చేస్తుంది,end_to_end\tem_00974_01796656293.wav
113,tem_05479_01671740903,అంతే గాని వారి అసమర్థతను బయట పెట్టరు\n,end_to_end\tem_05479_01671740903.wav
114,tem_02769_01915629255,సాక్షాత్తూ ప్లాటో అన్నాడా మాట,end_to_end\tem_02769_01915629255.wav
115,tem_00974_00059322050,ఆపేరు కాలక్రమంలో మురుడేశ్వర గా మారింది,end_to_end\tem_00974_00059322050.wav
116,tem_09015_02101549671,దారిలో శివుడు తుఫాను తెప్పిస్తాడు,end_to_end\tem_09015_02101549671.wav
117,tem_08680_00723182467,వీటివలనే వ్యాకరణము పుట్టెనని చెప్పుదురు\n,end_to_end\tem_08680_00723182467.wav
118,tem_00974_00646553082,ఆ వార్త విన్న ద్రౌపది వివశురాలవుతుంది,end_to_end\tem_00974_00646553082.wav
119,tem_09222_01967833668,పువ్వులకు సువాసన గలదు,end_to_end\tem_09222_01967833668.wav
120,tem_03338_00453286615,ఇదంతా చూసి విదురుడికి మనసు కలత చెందింది,end_to_end\tem_03338_00453286615.wav
121,tem_00682_01064209001,ఏమిటి ఎందుకు ఎలా అన్న విషయాలకు ప్రాధాన్యత ఇవ్వాలి,end_to_end\tem_00682_01064209001.wav
122,tem_00682_01777869519,గది తలుపు దానికదే మూసుకుంటుంది,end_to_end\tem_00682_01777869519.wav
123,tem_02769_00843676823,ఆ కంపెనీ క్రమంగా అభివృద్ధి చెందింది,end_to_end\tem_02769_00843676823.wav
124,tem_02769_01470972128,ఇఎమ్బిడిలో కోదండరామిరెడ్డి పేజీ,end_to_end\tem_02769_01470972128.wav
125,tem_09015_00662553986,ఆవుది సాత్త్విక స్వభావం,end_to_end\tem_09015_00662553986.wav
126,tem_07220_00701782684,కలికి కోపం వచ్చింది,end_to_end\tem_07220_00701782684.wav
127,tem_06582_00976746616,ప్రముఖ తెలుగు సినీ దర్శకుడు సత్యనారాయణ,end_to_end\tem_06582_00976746616.wav
128,tem_03338_00681341384,కుంతీ దేవి కుమారులతో ఇలా అన్నది,end_to_end\tem_03338_00681341384.wav
129,tem_06885_01088687923,అవన్నీ నాకు తెలుసు,end_to_end\tem_06885_01088687923.wav
130,tem_04272_00740984256,ఈ వూరికి ప్రక్క వూరు జగన్నాధపురంకు మధ్య ఒక కొండమీద నరసింహ స్వామి ఆలయం ఉంది,end_to_end\tem_04272_00740984256.wav
131,tem_09525_00407032736,పిన్ కోడ్ అయిదు లక్షల తొమ్మిది వేల మూడు వందల ముప్పై తొమ్మిది,end_to_end\tem_09525_00407032736.wav
132,tem_03338_00689406376,భళ్ళెం అని ధ్వని నిస్తాయి,end_to_end\tem_03338_00689406376.wav
133,tem_03338_00362309854,నేనెవరో నీకు తెలియజెప్తాను,end_to_end\tem_03338_00362309854.wav
134,tem_02812_01437256439,కడప జిల్లా ఆంధ్రప్రదేశ్ లోని జిల్లా,end_to_end\tem_02812_01437256439.wav
135,tem_06582_01533037633,కనుక అతడిని రక్షించుకోవడం నా కర్తవ్యం,end_to_end\tem_06582_01533037633.wav
136,tem_09015_01044647020,ఫిబ్రవరి పందొమ్మిదినే దాడికి సిద్ధపడ్డారు,end_to_end\tem_09015_01044647020.wav
137,tem_05425_02011761462,కాకినాడ ని రెండవ మద్రాసు అని పిలుస్తారు,end_to_end\tem_05425_02011761462.wav
138,tem_03338_00803101733,దీనికి పెద్దగా స్పందన రాలేదు,end_to_end\tem_03338_00803101733.wav
139,tem_00682_01703726192,దీని సవరణ ఋణాత్మకం,end_to_end\tem_00682_01703726192.wav
140,tem_09584_00020328055,కానీ ఏదీ కలిసి రాలేదు,end_to_end\tem_09584_00020328055.wav
141,tem_03338_00759484786,అంతే గాని వారి అసమర్థతను బయట పెట్టరు,end_to_end\tem_03338_00759484786.wav
142,tem_09015_01539226051,పాటలో పండు ముసలావిడ గొంతు,end_to_end\tem_09015_01539226051.wav
143,tem_02769_01340272492,ఇప్పుడు ప్రధాన హోం సెక్రటరీ,end_to_end\tem_02769_01340272492.wav
144,tem_05479_01879830193,కాళ్ళు మెల్లగా వెనుకకు వదలాలి\n,end_to_end\tem_05479_01879830193.wav
145,tem_05479_00156018398,అతడు కృష్ణుడిని కూడా వదల లేదు,end_to_end\tem_05479_00156018398.wav
146,tem_08680_02055448895,రెండు ప్రాజెక్ట్లు విజయవంతం అయినాయి\n,end_to_end\tem_08680_02055448895.wav
147,tem_09015_00431450673,దాంతో వివాహం ఆగి పోతుంది,end_to_end\tem_09015_00431450673.wav
148,tem_04771_01074131228,డేటా కనెక్షన్‌ను కోల్పోయారు,end_to_end\tem_04771_01074131228.wav
149,tem_03338_02005009393,ఆ పాలల్లో క్యాలరీలు అధికంగా ఉంటాయి,end_to_end\tem_03338_02005009393.wav
150,tem_04272_02069147614,ఇదే పేరుతో ఉన్న ఇతర ప్రాంతాల కొరకు వనపర్తి అయోమయ నివృత్తి చూడండి,end_to_end\tem_04272_02069147614.wav
151,tem_03338_00158786234,ద్రోణునికి ఎదురు నిలిచేవారు లేక పోయారు,end_to_end\tem_03338_00158786234.wav
152,tem_06359_01693758750,ఈ గ్రామం వెయ్యి తొమ్మిది వందలు మూడులో ఏర్పాటయినది,end_to_end\tem_06359_01693758750.wav
153,tem_09015_01888153985,తిరిగి లైట్ హౌస్ పనిచేయడం మొదలైంది,end_to_end\tem_09015_01888153985.wav
154,tem_09222_01502944770,పిన్ కోడ్ అయిదు వందల ముప్పై నాలుగు రెండు వందల నలభై అయిదు,end_to_end\tem_09222_01502944770.wav
155,tem_06359_00783768260,శరత్ బాబు రావు గోపాలరావు మేనల్లుడు,end_to_end\tem_06359_00783768260.wav
156,tem_05425_01765995560,కూచిపూడి లోను గుంటూరు లోను ప్రాథమిక విద్య జరిగింది,end_to_end\tem_05425_01765995560.wav
157,tem_00682_01877851709,దీనికి జవాబు అవును కాదు కూడాను అని ఇక్కడ ఇవ్వబడ్డాయి,end_to_end\tem_00682_01877851709.wav
158,tem_06582_00664603653,రా ఒక ప్రత్యేకమైన హోదా ఉన్న సంస్థ,end_to_end\tem_06582_00664603653.wav
159,tem_04272_01391266465,అలాగే ఇస్లాం లో కూడా నిబంధనలు ఉన్నాయి అవి ఐదు,end_to_end\tem_04272_01391266465.wav
160,tem_02812_00072355961,దీనిని తటస్థీకరణము అందురు,end_to_end\tem_02812_00072355961.wav
161,tem_09584_00468240103,ధనుర్విద్యలో తిరుగులేని మహావీరుడైనాడు,end_to_end\tem_09584_00468240103.wav
162,tem_00682_00243756495,అక్షరాస్యుల సంఖ్య ఇరవై రెండు వెలు అయిదు వందలు అరవై రెండు,end_to_end\tem_00682_00243756495.wav
163,tem_00682_01106362997,విజయవాడ ఆంధ్ర ప్రదేశ్ లోని ఒక వాణిజ్య రాజకీయ మరియు సాంస్కృతిక కేంద్రము,end_to_end\tem_00682_01106362997.wav
164,tem_04771_00022039022,కుడివైపు వెళ్ళండి,end_to_end\tem_04771_00022039022.wav
165,tem_04272_02050535504,పుట్టిన ఊరు మదనపల్లె చిత్తూరు జిల్లా,end_to_end\tem_04272_02050535504.wav
166,tem_05479_02094993354,ఈ వూరు హైదరాబాదు నగరంలో క్రాస్‌రోడ్ దగ్గరనుండి అరగంట ప్రయాణంలో చేరుకోవచ్చు\n,end_to_end\tem_05479_02094993354.wav
167,tem_02769_00516629729,క్రిటికల్ రివ్యూ ఇన్ టాక్సికాలజీ,end_to_end\tem_02769_00516629729.wav
168,tem_03338_01348402190,ఆర్య అంటే గొప్ప వంశస్థుడు అని అర్ధం,end_to_end\tem_03338_01348402190.wav
169,tem_09015_00304040943,శంబరుడు జటాసురుడి కొడుకు,end_to_end\tem_09015_00304040943.wav
170,tem_00974_00757486902,ఉరిశిక్షను జీవితఖైదుగా మార్చారు,end_to_end\tem_00974_00757486902.wav
171,tem_04272_01871756492,ఇది పౌరాణిక ప్రాముఖ్యత కలిగిన ప్రదేశాలలో ఇది ఒకటి,end_to_end\tem_04272_01871756492.wav
172,tem_00113_01469838299,సామాజిక బాధ్యత అలవడుతుంది,end_to_end\tem_00113_01469838299.wav
173,tem_06359_01798397878,రాజ్యానికి వారసులు లేక వారు చింతిచేవారు,end_to_end\tem_06359_01798397878.wav
174,tem_08680_00744934412,పేదల పక్షాన ఉచితంగా వాదించేవారు\n,end_to_end\tem_08680_00744934412.wav
175,tem_06359_00526830538,తర్వాత అతనితో యుద్ధానికి దిగాడు,end_to_end\tem_06359_00526830538.wav
176,tem_04771_00665050432,రెండు కిలోమీటర్‌లలో,end_to_end\tem_04771_00665050432.wav
177,tem_04272_00993890999,దీనిని ముంబాయి లో ఆస్ట్రేలియా పై సాధించాడు,end_to_end\tem_04272_00993890999.wav
178,tem_09222_01532715372,అమ్మవారి పేరు మాణిక్యాంబా దేవి,end_to_end\tem_09222_01532715372.wav
179,tem_05479_00064504053,మిగిలిన దేశమంతా కారపు బోండాలు తింటారు\n,end_to_end\tem_05479_00064504053.wav
180,tem_08377_01857271692,ఈ వారం వ్యాసం తయారు చేసినందుకు కృతజ్ఞతలు\n,end_to_end\tem_08377_01857271692.wav
181,tem_03338_01870439013,ఇది డీజెల్ లాంటి పదార్థం,end_to_end\tem_03338_01870439013.wav
182,tem_08680_01019341676,ఆమె వెయ్యి తొమ్మిది వందలు తొంభై అయిదు లో మరణించారు\n,end_to_end\tem_08680_01019341676.wav
183,tem_05479_00432475920,బౌద్ధులకు ఒక ప్రాముఖ్యమైన యాత్రాక్షేత్రం\n,end_to_end\tem_05479_00432475920.wav
184,tem_00682_00578939569,ఈ మూసలను చూడడానికి సభ్యుల పేజీ మూసలు చూడండి,end_to_end\tem_00682_00578939569.wav
185,tem_02812_00000441813,ప్రధాన పరీక్షలు టర్మ్ చివరలో ఉంటాయి,end_to_end\tem_02812_00000441813.wav
186,tem_08377_01154161418,దీనికి పెద్దగా స్పందన రాలేదు\n,end_to_end\tem_08377_01154161418.wav
187,tem_07220_00486031171,ఆవుల సాంబశివరావు పై ఈయన ప్రభావం ఉంది,end_to_end\tem_07220_00486031171.wav
188,tem_09222_01868970311,అదే శిల్ప విశేషము\n,end_to_end\tem_09222_01868970311.wav
189,tem_05425_00016231912,నేను తెలుగు సినిమా పాటలు పేజీని మొదలు పెట్టాను,end_to_end\tem_05425_00016231912.wav
190,tem_07220_02139883685,విషయం గాంధీజీ దాకా వెళ్ళింది,end_to_end\tem_07220_02139883685.wav
191,tem_03338_01264284838,అన్నీ చాల వరకు శిధిలమై ఉన్నవి,end_to_end\tem_03338_01264284838.wav
192,tem_09015_01042466913,అంతే రుచికరమైన వెజ్ మంచూరియన్ సిద్దం,end_to_end\tem_09015_01042466913.wav
193,tem_07220_00049619644,నేను నీ కూతురులాంటి దాన్ని,end_to_end\tem_07220_00049619644.wav
194,tem_03338_00407789311,మిగిలిన జిల్లా పోర్చుగీసు ఆధీనంలో ఉంది,end_to_end\tem_03338_00407789311.wav
195,tem_02812_01940132387,ఆయన ప్రధాన కార్యాలయం చత్రాలో ఉంది,end_to_end\tem_02812_01940132387.wav
196,tem_03338_00340316192,ఈ ప్రాంతం వరి ఉత్పత్తికి పేరుపొందింది,end_to_end\tem_03338_00340316192.wav
197,tem_02769_00517634859,పాండవులు మహాప్రస్థానం ప్రారంభించారు,end_to_end\tem_02769_00517634859.wav
198,tem_08377_01852854357,ఇది కాక మరో ఐదు విభాగాలు ఉన్నాయి\n,end_to_end\tem_08377_01852854357.wav
199,tem_00682_00297757184,ఆయన శిష్యులు ఆయన్ను మాస్టర్ అని పిలుచుకుంటుంటారు,end_to_end\tem_00682_00297757184.wav
200,tem_02769_00703465658,ధ్యానం చేసేటప్పుడు ప్రశాంతతను ఇస్తుంది,end_to_end\tem_02769_00703465658.wav
201,tem_09015_01987428612,తేలవేయు అనగా,end_to_end\tem_09015_01987428612.wav
202,tem_05425_00188686227,ఈ గ్రామము లో వరి ప్రధాన పంట,end_to_end\tem_05425_00188686227.wav
203,tem_02812_02005096293,హైదరాబాదు నుంచి తాండూర్ వెళ్ళు రోడ్డు మరియు రైలు మార్గములో ఈ పట్టణం ఉంది,end_to_end\tem_02812_02005096293.wav
204,tem_00974_00395324781,దాని బాయిలర్ లో దోషం కనబడింది,end_to_end\tem_00974_00395324781.wav
205,tem_00682_00105693326,అల్లుడు వైవిజయ తో ఉండటం మంగమ్మకు నచ్చదు,end_to_end\tem_00682_00105693326.wav
